"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 29 18:23:40 CDT 2024","Sat Jun 29 18:23:48 CDT 2024","7780","","locating elements","","","","$ - locate element",""
"passed","Sat Jun 29 18:23:59 CDT 2024","Sat Jun 29 18:24:09 CDT 2024","10645","","advanced element interactions - examples","","","","actions",""
"passed","Sat Jun 29 18:23:51 CDT 2024","Sat Jun 29 18:23:58 CDT 2024","7816","","advanced element interactions - examples","","","","drop-down",""
"passed","Sat Jun 29 18:24:08 CDT 2024","Sat Jun 29 18:24:20 CDT 2024","11334","","wait commands - examples","","","","waitUntil",""
"passed","Sat Jun 29 18:24:23 CDT 2024","Sat Jun 29 18:24:27 CDT 2024","4465","","advanced element interactions - examples","","","","alerts",""
"passed","Sat Jun 29 18:23:48 CDT 2024","Sat Jun 29 18:23:50 CDT 2024","1855","","webdriveruniversity - contact us page","","","","invalid submission - don submit all information","Validate constact us page by not submitting all data"
"passed","Sat Jun 29 18:23:40 CDT 2024","Sat Jun 29 18:23:51 CDT 2024","10533","","advanced element interactions - examples","","","","inputs",""
"passed","Sat Jun 29 18:24:32 CDT 2024","Sat Jun 29 18:24:36 CDT 2024","4050","","advanced element interactions - examples","","","","JS execute",""
"passed","Sat Jun 29 18:24:03 CDT 2024","Sat Jun 29 18:24:08 CDT 2024","5376","","wait commands - examples","","","","waitForDisplayed",""
"passed","Sat Jun 29 18:23:58 CDT 2024","Sat Jun 29 18:23:59 CDT 2024","284","","advanced element interactions - examples","","","","state commands",""
"passed","Sat Jun 29 18:23:48 CDT 2024","Sat Jun 29 18:23:48 CDT 2024","825","","locating elements","","","","$$ - locate elements",""
"passed","Sat Jun 29 18:24:09 CDT 2024","Sat Jun 29 18:24:18 CDT 2024","8571","","advanced element interactions - examples","","","","handling windows",""
"passed","Sat Jun 29 18:23:40 CDT 2024","Sat Jun 29 18:23:51 CDT 2024","11509","","Add items to basket","","","","Add specific 'skincare produts' to basket and validate car total",""
"passed","Sat Jun 29 18:24:18 CDT 2024","Sat Jun 29 18:24:23 CDT 2024","5138","","advanced element interactions - examples","","","","Iframes",""
"passed","Sat Jun 29 18:24:27 CDT 2024","Sat Jun 29 18:24:32 CDT 2024","4506","","advanced element interactions - examples","","","","Files upload",""
"passed","Sat Jun 29 18:23:56 CDT 2024","Sat Jun 29 18:24:03 CDT 2024","6824","","wait commands - examples","","","","waitforclickable",""
"passed","Sat Jun 29 18:23:40 CDT 2024","Sat Jun 29 18:23:48 CDT 2024","7875","","webdriveruniversity - contact us page","","","","Valid submission - submit all information","Validate constact us page by submitting all data"
"passed","Sat Jun 29 18:24:08 CDT 2024","Sat Jun 29 18:24:08 CDT 2024","177","","wait commands - examples","","","","waitForExist",""
"passed","Sat Jun 29 18:23:40 CDT 2024","Sat Jun 29 18:23:56 CDT 2024","15921","","wait commands - examples","","","","pause command",""
